Date,Close
10/23/15,31.66
10/26/15,31.07
10/27/15,31.04
10/28/15,31.12
10/29/15,31.59
10/30/15,32.22
11/2/15,30.96
11/3/15,31.44
11/4/15,31.75
11/5/15,31.62
11/6/15,31.54
11/9/15,30.23
11/10/15,28.59
11/11/15,28.18
11/12/15,28.86
11/13/15,28.33
11/16/15,27.35
11/17/15,26.39
11/18/15,28
11/19/15,29.45
11/20/15,28.23
11/23/15,28.87
11/24/15,26.95
11/25/15,26.44
11/27/15,26.71
11/30/15,26.34
12/1/15,26.28
12/2/15,26.41
12/3/15,26.83
12/4/15,27.12
12/7/15,26.88
12/8/15,26.48
12/9/15,24.81
12/10/15,24.96
12/11/15,24.76
12/14/15,24.56
12/15/15,25.36
12/16/15,26.21
12/17/15,26.53
12/18/15,25.31
12/21/15,24.45
12/22/15,24.66
12/23/15,24.92
12/24/15,25.34
12/28/15,24.84
12/29/15,25.18
12/30/15,25.98
12/31/15,25.8
1/4/16,25.72
1/5/16,25.31
1/6/16,25.3
1/7/16,24.67
1/8/16,24.93
1/11/16,23.87
1/12/16,23.74
1/13/16,21.38
1/14/16,20.64
1/15/16,19.89
1/19/16,20.3
1/20/16,20.53
1/21/16,22.79
1/22/16,23.07
1/25/16,23.13
1/26/16,23.09
1/27/16,22
1/28/16,22.5
1/29/16,23.22
2/1/16,23.53
2/2/16,22.62
2/3/16,23
2/4/16,23.48
2/5/16,21.87
2/8/16,20.38
2/9/16,19.85
2/10/16,19.97
2/11/16,19.37
2/12/16,19.33
2/16/16,20.5
2/17/16,22.37
2/18/16,20.59
2/19/16,20.57
2/22/16,21.21
2/23/16,20.04
2/24/16,21.02
2/25/16,21.66
2/26/16,22
2/29/16,22.38
3/1/16,22.69
3/2/16,24.36
3/3/16,24.27
3/4/16,25.16
3/7/16,25.87
3/8/16,26.79
3/9/16,26.07
3/10/16,25.39
3/11/16,26.7
3/14/16,26.58
3/15/16,25.83
3/16/16,26.8
3/17/16,27.15
3/18/16,28.49
3/21/16,28.04
3/22/16,27.51
3/23/16,26.2
3/24/16,26.99
3/28/16,27.59
3/29/16,27.97
3/30/16,27.77
3/31/16,28.21
4/1/16,28.45
4/4/16,29.3
4/5/16,28.75
4/6/16,29.5
4/7/16,29.21
4/8/16,29.55
4/11/16,29.52
